C1-S1-D1,C1-S1-D2,C1-S2-D1,C1-S2-D2,C2-S1-D1,C2-S1-D2,C2-S2-D1,C2-S2-D2
4042,371,76,5060,106,4091,1200,139
4057,374,77,5045,107,4092,1200,143
4002,371,77,5034,106,4126,1202,142
3990,375,76,5025,108,4070,1185,142
3962,371,77,5051,107,4074,1208,141
3988,367,76,5047,105,4103,1206,141
4026,369,76,5042,106,4059,1217,141
3975,369,77,5066,105,4047,1214,142
4003,374,76,5034,107,4045,1201,143
4013,374,76,5058,105,4031,1195,140
4038,368,75,5050,106,4080,1203,142
4011,373,77,4992,105,4113,1221,142
4036,371,77,4996,104,4090,1220,142
4041,369,77,5061,103,4039,1196,141
4060,369,76,5060,106,4117,1186,144
4023,370,76,5025,105,4068,1215,142
4035,371,77,5040,105,4063,1194,141
3989,374,77,5008,105,4103,1195,141
4057,372,76,5018,106,4043,1197,143
4021,373,77,5026,105,4027,1202,142
4009,371,79,5026,105,4048,1195,142
4042,370,77,5005,107,4108,1199,141
4058,368,76,5052,107,4119,1209,143
3985,376,77,5049,103,4035,1199,138
3986,373,76,5069,105,4077,1200,142
4032,371,76,5018,104,4034,1201,140
3988,369,76,5006,106,4055,1197,144
4029,366,77,5016,107,4084,1208,144
3979,371,76,5019,106,4052,1196,143
4018,368,76,5034,106,4110,1209,143
4001,367,77,5011,104,4003,1209,139
3984,369,77,4997,104,4058,1188,143
4024,369,77,5031,104,4040,1202,142
4023,370,77,5039,103,4102,1182,141
4047,370,77,4995,106,4058,1201,143
4028,369,77,5049,105,4005,1216,140
3997,368,76,5064,105,4069,1213,139
4052,372,77,5040,105,4041,1209,142
4013,368,76,5041,104,4105,1207,140
3993,371,77,5046,105,4047,1198,144
3889,365,77,5052,106,4099,1206,143
4062,371,76,5016,106,4053,1206,139
4055,372,77,5051,106,4065,1214,139
4018,374,77,5026,105,4099,1192,143
4012,372,77,5030,106,4104,1213,141
4002,370,77,5025,106,4049,1206,144
4050,370,77,4997,104,4036,1213,141
4057,370,77,4989,107,4061,1203,142
4056,372,77,5053,106,4091,1200,142
4040,370,77,5034,108,4074,1191,140
4029,368,79,5054,105,4048,1200,141
3975,372,76,5047,106,4006,1190,141
3977,369,77,5011,104,4099,1186,144
4024,370,77,5010,108,4077,1211,143
3976,368,77,5057,105,4124,1203,143
3980,377,76,5063,104,4106,1215,141
3978,372,77,5045,103,4010,1193,143
3981,368,76,5027,106,4041,1247,142
4017,368,77,5005,106,4117,1187,144
4037,369,77,5044,105,4091,1216,145
3959,371,76,5052,107,4049,1210,142
4048,370,77,5013,103,4078,1195,140
4025,372,77,4988,103,4045,1192,141
4052,373,77,5066,105,4067,1202,139
3978,370,77,5018,106,4092,1190,142
4050,373,76,4998,105,4084,1209,140
4052,373,77,5060,106,4048,1202,141
4011,370,77,5054,104,4102,1209,141
3977,369,76,5048,106,4089,1181,144
4048,376,77,5037,107,4088,1210,144
4006,371,76,5035,106,4016,1210,140
3986,372,77,4993,105,4059,1204,141
3950,369,76,5050,106,4013,1186,144
4020,368,77,5048,105,4075,1189,142
4001,371,77,4991,106,4034,1195,141
4031,373,77,5034,104,4070,1213,139
3975,369,76,5017,105,4089,1213,140
4027,366,76,5048,103,4122,1197,141
4032,373,77,5025,107,4119,1184,140
3966,372,77,5043,105,4006,1192,139
4054,367,76,5041,106,4029,1211,139
4024,372,76,5061,107,4057,1197,140
4027,371,77,5044,106,4015,1209,140
4017,367,77,5000,107,4031,1202,141
4007,374,77,5034,106,4080,1189,141
4019,366,77,5018,105,4064,1208,141
4022,366,77,4991,106,4120,1199,140
4065,373,77,4993,106,4040,1176,140
4015,374,78,5054,106,4040,1187,139
4034,368,76,4991,107,4070,1182,138
4016,371,76,5018,106,4131,1205,142
4030,370,76,5019,104,4056,1210,138
4018,368,77,5000,106,4045,1171,142
4050,373,77,5053,107,4018,1212,141
3997,367,77,5052,107,4067,1178,142
4052,366,76,5034,104,4077,1203,141
4045,373,77,5055,104,4010,1181,139
4043,375,77,5011,106,4099,1202,139
4037,371,77,5025,105,4109,1201,141
4038,375,76,5075,106,4061,1193,140
3991,367,76,5052,105,4082,1194,140
3952,368,77,5030,104,4034,1189,138
4029,371,76,5030,107,4074,1199,142
4051,369,77,5033,108,4080,1213,139
3997,374,76,4994,106,4055,1190,141
3993,371,77,5006,105,4013,1210,144
4051,369,77,5055,104,4089,1206,142
4018,371,77,5046,103,4092,1187,139
3965,370,77,5003,105,4011,1191,140
3999,371,77,5073,105,4048,1204,141
4031,370,77,5060,104,4070,1196,144
3962,370,76,5037,104,4100,1177,138
4026,369,76,5012,105,4103,1204,141
4041,372,77,5023,107,4102,1196,140
4023,367,77,5054,105,4122,1182,140
3996,368,76,5053,104,4061,1193,142
4006,367,76,5044,107,4039,1202,139
4031,373,76,5038,107,4102,1191,139
